Question,Option A,Option B,Option C,Option D,Correct (A/B/C/D),Explanation
Which material offers the best UV resistance for long-term outdoor use?,ABS,Polycarbonate,Fiberglass,Painted Steel,B,Polycarbonate provides superior UV resistance and does not yellow or degrade as quickly as ABS or PVC in prolonged sunlight.
Which NEMA rating provides hose-down protection AND corrosion resistance?,NEMA 3R,NEMA 12,NEMA 4,NEMA 4X,D,"NEMA 4X adds corrosion resistance on top of the washdown protection found in NEMA 4, making it suitable for wet and corrosive environments."
Which dimension is most important to match first when suggesting a substitute enclosure?,Depth,Width,Height,Height and width (footprint),D,The footprint (height × width) determines mounting compatibility and door swing clearance; depth can be increased without impacting the installation envelope.
Which material is best suited for harsh chemical environments such as wastewater treatment?,ABS,Fiberglass (FRP),Polycarbonate,Painted steel,B,"Fiberglass (FRP) is highly resistant to acids, alkalis, and corrosive gases, making it the go-to choice for wastewater and chemical-processing facilities."
Polycarbonate enclosures are strongest in which category?,Chemical resistance,UV and impact resistance,Cost efficiency,Thermal insulation,B,"Polycarbonate excels in impact resistance and UV stability, outperforming ABS and PVC in outdoor and rough-handling applications."
Which latch type provides the tightest environmental seal for NEMA 4X?,Quarter-turn latch,Screw cover,Thumb latch,Padlockable latch,B,"A screw-cover (or compression-style) latch compresses the gasket uniformly around the door perimeter, creating the tightest seal required for NEMA 4X ratings."
Which hinge type offers the best sealing and strength for outdoor stainless steel enclosures?,Molded hinge,Lift-off hinge,Continuous (piano) hinge,Concealed hinge,C,"Continuous (piano) hinges distribute load evenly along the full door length, maximizing seal contact and structural rigidity in outdoor stainless steel applications."
ABS enclosures should never be used in which environment?,Indoor clean rooms,Outdoor solar sites,Low-voltage indoor electronics,Desktop instrumentation,B,"ABS degrades rapidly under UV exposure, yellowing and becoming brittle; outdoor solar sites with constant sunlight are therefore unsuitable for ABS enclosures."
Which enclosure material is considered 'marine grade'?,Stainless 304,Stainless 316,Polycarbonate,PVC,B,"Stainless steel 316 contains molybdenum, giving it superior resistance to saltwater chloride corrosion—hence the 'marine grade' designation."
A customer needs washdown protection. Which rating is required?,NEMA 12,NEMA 3R,NEMA 4X,NEMA 1,C,"NEMA 4X is the appropriate rating for washdown (hose-down) protection; NEMA 4X also adds corrosion resistance, making it the safest selection."
Which material provides the best strength-to-weight ratio?,Painted steel,Stainless steel,Polycarbonate,Fiberglass,C,"Polycarbonate is significantly lighter than steel while maintaining high impact strength, yielding an excellent strength-to-weight ratio."
Fiberglass is preferred over polycarbonate when:,High UV exposure is present,High impact loads are expected,Chemicals and corrosives are present,Cost is the highest priority,C,"Fiberglass offers superior chemical resistance compared to polycarbonate, making it the preferred choice when acids, solvents, or corrosives are present."
Which is a valid substitution rule?,Replace NEMA 4X with NEMA 12,Replace ABS with polycarbonate outdoors,Replace stainless steel with painted steel,Replace screw-cover with hinge door without asking the customer,B,Upgrading from ABS to polycarbonate for outdoor use is always a safe upward substitution; downgrading ratings or switching to less corrosion-resistant materials is not.
Which material is heaviest on average?,Polycarbonate,Aluminum,Stainless steel,ABS,C,"Stainless steel has the highest density (~8 g/cm³) of common enclosure materials, making it the heaviest option."
